Seed,Model_Architecture,Mode,Gradient_Loss,Zero_Percentage

0,McMahan_CNN,model.eval(),0.027346312999725342,74.93840074707352
1,McMahan_CNN,model.eval(),0.002729356288909912,70.7848444972416
2,McMahan_CNN,model.eval(),0.006399691104888916,72.92906418285125
3,McMahan_CNN,model.eval(),0.010840415954589844,66.70116410300638
4,McMahan_CNN,model.eval(),0.009321033954620361,72.58626909298636

0,McMahan_CNN,model.train(),0.0693938136100769,63.02811448326643
2,McMahan_CNN,model.train(),0.06158757209777832,61.615156986519104
1,McMahan_CNN,model.train(),0.07649320363998413,60.159448634522846
3,McMahan_CNN,model.train(),0.06255567073822021,63.26291961448187
4,McMahan_CNN,model.train(),0.09977561235427856,64.83881258340358
